Jour 0
Nom: Pass VIP Concert   | SellIn:  14 | Qualité: 21
Nom: Objet              | SellIn:  -5 | Qualité:  2
Nom: Objet              | SellIn:  -5 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn:  -4 | Qualité: 72

Jour 5
Nom: Pass VIP Concert   | SellIn:   9 | Qualité: 27
Nom: Pass VIP Concert   | SellIn:   5 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:   0 | Qualité: 50
Nom: Comté              | SellIn:   5 | Qualité: 35
Nom: Comté              | SellIn:  -5 | Qualité: 50
Nom: Objet              | SellIn:   0 | Qualité:  5
Nom: Objet              | SellIn:  -6 | Qualité:  0
Nom: Objet              | SellIn:  -6 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn:  -5 | Qualité: 70

Jour 6
Nom: Pass VIP Concert   | SellIn:   8 | Qualité: 29
Nom: Pass VIP Concert   | SellIn:   4 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:  -1 | Qualité:  0
Nom: Comté              | SellIn:   4 | Qualité: 36
Nom: Comté              | SellIn:  -6 | Qualité: 50
Nom: Objet              | SellIn:  -1 | Qualité:  3
Nom: Objet              | SellIn:  -7 | Qualité:  0
Nom: Objet              | SellIn:  -7 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn:  -6 | Qualité: 68

Jour 7
Nom: Pass VIP Concert   | SellIn:   7 | Qualité: 31
Nom: Pass VIP Concert   | SellIn:   3 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:  -2 | Qualité:  0
Nom: Comté              | SellIn:   3 | Qualité: 37
Nom: Comté              | SellIn:  -7 | Qualité: 50
Nom: Objet              | SellIn:  -2 | Qualité:  1
Nom: Objet              | SellIn:  -8 | Qualité:  0
Nom: Objet              | SellIn:  -8 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn:  -7 | Qualité: 66

Jour 8
Nom: Pass VIP Concert   | SellIn:   6 | Qualité: 33
Nom: Pass VIP Concert   | SellIn:   2 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:  -3 | Qualité:  0
Nom: Comté              | SellIn:   2 | Qualité: 38
Nom: Comté              | SellIn:  -8 | Qualité: 50
Nom: Objet              | SellIn:  -3 | Qualité:  0
Nom: Objet              | SellIn:  -9 | Qualité:  0
Nom: Objet              | SellIn:  -9 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn:  -8 | Qualité: 64

Jour 9
Nom: Pass VIP Concert   | SellIn:   5 | Qualité: 35
Nom: Pass VIP Concert   | SellIn:   1 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:  -4 | Qualité:  0
Nom: Comté              | SellIn:   1 | Qualité: 39
Nom: Comté              | SellIn:  -9 | Qualité: 50
Nom: Objet              | SellIn:  -4 | Qualité:  0
Nom: Objet              | SellIn: -10 | Qualité:  0
Nom: Objet              | SellIn: -10 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn:  -9 | Qualité: 62

Jour 10
Nom: Pass VIP Concert   | SellIn:   4 | Qualité: 38
Nom: Pass VIP Concert   | SellIn:   0 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:  -5 | Qualité:  0
Nom: Comté              | SellIn:   0 | Qualité: 40
Nom: Comté              | SellIn: -10 | Qualité: 50
Nom: Objet              | SellIn:  -5 | Qualité:  0
Nom: Objet              | SellIn: -11 | Qualité:  0
Nom: Objet              | SellIn: -11 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn: -10 | Qualité: 60

Jour 11
Nom: Pass VIP Concert   | SellIn:   3 | Qualité: 41
Nom: Pass VIP Concert   | SellIn:  -1 | Qualité:  0
Nom: Pass VIP Concert   | SellIn:  -6 | Qualité:  0
Nom: Comté              | SellIn:  -1 | Qualité: 42
Nom: Comté              | SellIn: -11 | Qualité: 50
Nom: Objet              | SellIn:  -6 | Qualité:  0
Nom: Objet              | SellIn: -12 | Qualité:  0
Nom: Objet              | SellIn: -12 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn: -11 | Qualité: 58

Jour 12
Nom: Pass VIP Concert   | SellIn:   2 | Qualité: 44
Nom: Pass VIP Concert   | SellIn:  -2 | Qualité:  0
Nom: Pass VIP Concert   | SellIn:  -7 | Qualité:  0
Nom: Comté              | SellIn:  -2 | Qualité: 44
Nom: Comté              | SellIn: -12 | Qualité: 50
Nom: Objet              | SellIn:  -7 | Qualité:  0
Nom: Objet              | SellIn: -13 | Qualité:  0
Nom: Objet              | SellIn: -13 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn: -12 | Qualité: 56

Jour 13
Nom: Pass VIP Concert   | SellIn:   1 | Qualité: 47
Nom: Pass VIP Concert   | SellIn:  -3 | Qualité:  0
Nom: Pass VIP Concert   | SellIn:  -8 | Qualité:  0
Nom: Comté              | SellIn:  -3 | Qualité: 46
Nom: Comté              | SellIn: -13 | Qualité: 50
Nom: Objet              | SellIn:  -8 | Qualité:  0
Nom: Objet              | SellIn: -14 | Qualité:  0
Nom: Objet              | SellIn: -14 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn: -13 | Qualité: 54

Jour 14
Nom: Pass VIP Concert   | SellIn:   0 | Qualité: 50
Nom: Pass VIP Concert   | SellIn:  -4 | Qualité:  0
Nom: Pass VIP Concert   | SellIn:  -9 | Qualité:  0
Nom: Comté              | SellIn:  -4 | Qualité: 48
Nom: Comté              | SellIn: -14 | Qualité: 50
Nom: Objet              | SellIn:  -9 | Qualité:  0
Nom: Objet              | SellIn: -15 | Qualité:  0
Nom: Objet              | SellIn: -15 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn: -14 | Qualité: 52

Jour 15
Nom: Pass VIP Concert   | SellIn:  -1 | Qualité:  0
Nom: Pass VIP Concert   | SellIn:  -5 | Qualité:  0
Nom: Pass VIP Concert   | SellIn: -10 | Qualité:  0
Nom: Comté              | SellIn:  -5 | Qualité: 50
Nom: Comté              | SellIn: -15 | Qualité: 50
Nom: Objet              | SellIn: -10 | Qualité:  0
Nom: Objet              | SellIn: -16 | Qualité:  0
Nom: Objet              | SellIn: -16 | Qualité:  0
Nom: Kryptonite         | SellIn:   0 | Qualité: 80
Nom: Kryptonite         | SellIn:  -1 | Qualité: 81
Nom: Objet légendaire   | SellIn: -15 | Qualité: 50
